date,ticker,trailing_pe,forward_pe,price
2025-12-18,A,30.01535,20.860767,136.66
2025-12-18,AA,10.574725,12.157928,48.18
2025-12-18,AAM,,,10.62
2025-12-18,AAMI,20.353376,10.839888,47.66
2025-12-18,AAP,,15.497523,41.02
2025-12-18,AAT,18.740196,26.54861,19.01
2025-12-18,AAUC,,,22.67
2025-12-18,AB,13.039736,10.416804,39.22
2025-12-18,ABBV,170.45833,15.7869005,222.82
2025-12-18,ABCB,13.445408,12.3901415,77.68
2025-12-18,ABEV,13.888888,13.011346,2.48
2025-12-18,ABG,8.495892,8.657231,236.13
2025-12-18,ABM,17.050194,10.021035,43.19
2025-12-18,ABR,10.234177,9.1875,8.06
2025-12-18,ABT,15.812815,22.177431,125.12
2025-12-18,ACA,36.107616,22.50053,109.68
2025-12-18,ACCO,9.130953,3.6408346,3.84
2025-12-18,ACEL,22.1,12.687587,11.08
2025-12-18,ACHR,,-10.675213,7.82
2025-12-18,ACI,10.355029,7.5572734,17.47
2025-12-18,ACM,20.235909,15.861665,97.01
2025-12-18,ACN,21.96655,17.958084,269.96
2025-12-18,ACP,15.955883,,5.33
2025-12-18,ACR,25.946808,28.470705,24.04
2025-12-18,ACRE,,36.39716,5.19
2025-12-18,ACV,6.1616545,,25.15
2025-12-18,ACVA,,32.074635,7.93
2025-12-18,AD,24.144857,-246.04762,51.49
2025-12-18,ADC,42.444443,36.817596,72.11
2025-12-18,ADCT,,-2.4664428,3.9
2025-12-18,ADM,23.810976,13.701339,58.3
2025-12-18,ADNT,,6.490395,19.35
2025-12-18,ADT,11.157535,8.610665,8.14
2025-12-18,ADX,7.432787,,22.76
2025-12-18,AEE,19.095192,18.582077,99.2
2025-12-18,AEFC,,,19.94
2025-12-18,AEG,8.173913,25.931036,7.53
2025-12-18,AEM,24.635431,15.708425,168.61
2025-12-18,AEO,24.41531,16.979494,27.42
2025-12-18,AER,6.770883,9.622227,143.3
2025-12-18,AERO,0.48050463,10.510421,21.5
2025-12-18,AES,8.914474,5.856775,13.68
2025-12-18,AESI,,-78.833336,9.38
2025-12-18,AEXA,,,11.06
2025-12-18,AFB,inf,,10.77
2025-12-18,AFG,14.384051,12.024562,137.94
2025-12-18,AFGB,,,21.63
2025-12-18,AFGC,,,19.1
2025-12-18,AFGD,,,21.07
2025-12-18,AFGE,,,17.09
2025-12-18,AFL,14.457293,14.9375515,110.46
2025-12-18,AG,115.69643,22.574915,16.15
2025-12-18,AGCO,21.163021,17.163513,106.86
2025-12-18,AGD,12.576195,,11.46
2025-12-18,AGI,29.335938,14.764572,37.7
2025-12-18,AGL,,-1.830118,0.7
2025-12-18,AGM,10.100684,9.183234,177.8
2025-12-18,AGO,11.246324,12.584437,92.18
2025-12-18,AGRO,33.913044,5.374825,7.7
2025-12-18,AGX,36.504112,32.52634,313.9
2025-12-18,AHH,31.292727,25.497776,6.74
2025-12-18,AHL,5.4551473,7.5136423,37.1
2025-12-18,AHR,399.20834,67.47183,47.42
2025-12-18,AHT,,-0.30547655,3.86
2025-12-18,AI,,-14.474955,13.77
2025-12-18,AIG,15.508993,10.962857,86.19
2025-12-18,AII,4.7361107,7.4899235,20.46
2025-12-18,AIIA,,,9.94
2025-12-18,AIN,,16.747913,50.46
2025-12-18,AIO,5.322275,,21.0
2025-12-18,AIR,103.100006,15.76302,81.88
2025-12-18,AIT,24.727886,22.188957,259.48
2025-12-18,AIV,,-12.655557,5.67
2025-12-18,AIZ,14.583842,11.4913845,238.03
2025-12-18,AIZN,,,19.47
2025-12-18,AJG,40.0989,18.765089,252.64
